category,stream_type,leak_rate_kg_per_hour,failed_seal_share
Control valves,Gas medium,0.020988,0.293
Control valves,Light hydrocarbons / two-phase media,0.012996,0.365
Control valves,Heavy hydrocarbons,0.006588,0.07
Control valves,Hydrogen,0.008784,0.3
Safety valves,Vapor-gas streams,0.136008,0.46
Safety valves,Light liquid hydrocarbons,0.08802,0.25
Safety valves,Heavy hydrocarbons,0.111024,0.35
Flanged joints,Vapor-gas streams,0.00072,0.03
Flanged joints,Light liquid hydrocarbons,0.000396,0.05
Flanged joints,Heavy hydrocarbons,0.000288,0.02
