substance,OBUV,PDK_mr,PDK_ss
Амилен,,1.5,1.5
Аммиак,,0.2,0.04
Ацетон,,0.35,0.35
Бензин,,1.5,
Бензол,,1.5,0.1
Бутан,,200.0,
Бутилен,,3.0,3.0
Гексан,50.0,60.0,
Гидроперекись изопропилбензола,,0.007,0.007
Изопропилбензол,,0.014,0.014
Керосин,1.2,,
Ксилолы,,0.2,0.2
Масло минеральное нефтяное,0.05,,
Метан,,,
Метилтилкетон,0.1,,
Пентан,,100.0,25.0
Пропилен,,3.0,3.0
Серная кислота,,0.3,0.1
Сернистый ангидрид,,0.5,0.05
Сероводород,,0.008,
Скипидар,,2.0,1.0
Сольвент нафты,0.2,,
Спирт изобутиловый,,0.1,0.1
Спирт метиловый,,1.0,0.5
Спирт этиловый,,5.0,5.0
Толуол,,0.6,0.6
Уайт-спирит,1.0,,
Углеводороды предельные C1-C5,50.0,,
Углеводороды предельные C12-C19,,1.0,
Углеводороды предельные C6-C10,30.0,,
Уксусная кислота,,0.2,0.06
Фенол,,0.01,0.0003
Формальдегид,,0.035,0.003
Фурфурол,,0.3,0.05
Хлор,,0.1,0.03
Хлористый водород,,0.2,0.2
Этилбензол,,0.02,0.02
Этилен,,3.0,3.0
Этиленгликоль,1.0,,
