substance,label,C1,Knp,Uoz,Uvl,J
benzene,Бензол,367.2,0.45,140.0,310.0,125.0
diesel,Дизельное топливо,3.14,0.0029,1.9,2.6,50.0
ethylbenzene,Этилбензол,46.8,0.067,13.0,35.0,125.0
fraction_br,Бензины (фракции),344.0,0.35,360.0,250.0,125.0
gasoline_auto,Бензин автомобильный,972.0,1.0,780.0,1100.0,125.0
gasoline_avia,Бензин авиационный,720.0,0.67,480.0,820.0,125.0
kerosene_t2,Керосин Т-2,306.0,0.29,200.0,340.0,50.0
mazut,Мазут,5.4,0.0043,4.0,6.53,12.5
nefras,Нефрас,720.0,0.66,460.0,780.0,125.0
toluene,Толуол,126.0,0.17,42.0,100.0,125.0
white_spirit,Уайт-спирит,36.0,0.033,22.0,37.0,50.0
xylene,Ксилолы,39.6,0.059,11.0,30.0,125.0
