substance,t,Kt
Нефтепродукты (кроме бензина),-30.0,0.135
Нефтепродукты (кроме бензина),-29.0,0.14
Нефтепродукты (кроме бензина),-28.0,0.15
Нефтепродукты (кроме бензина),-27.0,0.153
Нефтепродукты (кроме бензина),-26.0,0.165
Нефтепродукты (кроме бензина),-24.0,0.175
Нефтепродукты (кроме бензина),-23.0,0.183
Нефтепродукты (кроме бензина),-22.0,0.19
Нефтепродукты (кроме бензина),-17.0,0.24
Нефтепродукты (кроме бензина),-16.0,0.255
Нефтепродукты (кроме бензина),-15.0,0.26
Нефтепродукты (кроме бензина),-11.0,0.3
Нефтепродукты (кроме бензина),-10.0,0.32
Нефтепродукты (кроме бензина),-7.0,0.365
Нефтепродукты (кроме бензина),-6.0,0.39
Нефтепродукты (кроме бензина),-5.0,0.4
Нефтепродукты (кроме бензина),-4.0,0.42
Нефтепродукты (кроме бензина),-2.0,0.45
Нефтепродукты (кроме бензина),0.0,0.49
Нефтепродукты (кроме бензина),1.0,0.52
Нефтепродукты (кроме бензина),2.0,0.53
Нефтепродукты (кроме бензина),5.0,0.59
Нефтепродукты (кроме бензина),6.0,0.62
Нефтепродукты (кроме бензина),8.0,0.66
Нефтепродукты (кроме бензина),10.0,0.72
Нефтепродукты (кроме бензина),11.0,0.74
Нефтепродукты (кроме бензина),13.0,0.8
Нефтепродукты (кроме бензина),14.0,0.82
Нефтепродукты (кроме бензина),15.0,0.85
Нефтепродукты (кроме бензина),16.0,0.87
Нефтепродукты (кроме бензина),17.0,0.9
Нефтепродукты (кроме бензина),18.0,0.94
Нефтепродукты (кроме бензина),21.0,1.03
Нефтепродукты (кроме бензина),22.0,1.08
Нефтепродукты (кроме бензина),23.0,1.1
Нефтепродукты (кроме бензина),25.0,1.2
Нефтепродукты (кроме бензина),26.0,1.23
Нефтепродукты (кроме бензина),27.0,1.25
Нефтепродукты (кроме бензина),30.0,1.4
Нефтепродукты (кроме бензина),31.0,1.43
Нефтепродукты (кроме бензина),32.0,1.48
Нефтепродукты (кроме бензина),33.0,1.5
Нефтепродукты (кроме бензина),39.0,1.8
Нефтепродукты (кроме бензина),40.0,1.88
Нефтепродукты (кроме бензина),41.0,1.93
Нефтепродукты (кроме бензина),42.0,1.97
Нефтепродукты (кроме бензина),43.0,2.02
Нефтепродукты (кроме бензина),44.0,2.09
Нефтепродукты (кроме бензина),45.0,2.15
Нефтепродукты (кроме бензина),47.0,2.25
Нефтепродукты (кроме бензина),48.0,2.35
Нефтепродукты (кроме бензина),49.0,2.4
Нефтепродукты (кроме бензина),50.0,2.5
Нефтепродукты (кроме бензина),51.0,2.58
Нефтепродукты (кроме бензина),52.0,2.6
Нефтепродукты (кроме бензина),53.0,2.7
Нефтепродукты (кроме бензина),54.0,2.78
Нефтепродукты (кроме бензина),55.0,2.88
Нефтепродукты (кроме бензина),56.0,2.9
Нефтепродукты (кроме бензина),57.0,3.0
Нефтепродукты (кроме бензина),58.0,3.08
Нефтепродукты (кроме бензина),59.0,3.15
Нефтепродукты (кроме бензина),60.0,3.2
Нефтепродукты (кроме бензина),63.0,3.5
Нефтепродукты (кроме бензина),65.0,3.6
Нефтепродукты (кроме бензина),79.0,5.0
Нефтепродукты (кроме бензина),80.0,5.08
Нефтепродукты (кроме бензина),81.0,5.1
Нефтепродукты (кроме бензина),82.0,5.15
Нефтепродукты (кроме бензина),83.0,5.51
Нефтепродукты (кроме бензина),84.0,5.58
Нефтепродукты (кроме бензина),85.0,5.6
Нефтепродукты (кроме бензина),86.0,5.8
Нефтепродукты (кроме бензина),92.0,6.4
Нефтепродукты (кроме бензина),93.0,6.6
Нефтепродукты (кроме бензина),95.0,6.8
Нефтепродукты (кроме бензина),96.0,7.0
Нефтепродукты (кроме бензина),100.0,7.4
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-30.0,0.09
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-28.0,0.096
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-27.0,0.1
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-18.0,0.145
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-17.0,0.153
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-16.0,0.16
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-15.0,0.165
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-14.0,0.173
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-13.0,0.18
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-12.0,0.185
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-11.0,0.193
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-10.0,0.2
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-9.0,0.21
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-8.0,0.215
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-6.0,0.235
"Нефти и бензины, Бензин автомобильный, Нефть сырая",-5.0,0.24
"Нефти и бензины, Бензин автомобильный, Нефть сырая",2.0,0.31
"Нефти и бензины, Бензин автомобильный, Нефть сырая",3.0,0.33
"Нефти и бензины, Бензин автомобильный, Нефть сырая",6.0,0.36
"Нефти и бензины, Бензин автомобильный, Нефть сырая",8.0,0.39
"Нефти и бензины, Бензин автомобильный, Нефть сырая",9.0,0.4
"Нефти и бензины, Бензин автомобильный, Нефть сырая",10.0,0.42
"Нефти и бензины, Бензин автомобильный, Нефть сырая",11.0,0.43
"Нефти и бензины, Бензин автомобильный, Нефть сырая",13.0,0.46
"Нефти и бензины, Бензин автомобильный, Нефть сырая",14.0,0.47
"Нефти и бензины, Бензин автомобильный, Нефть сырая",15.0,0.49
"Нефти и бензины, Бензин автомобильный, Нефть сырая",16.0,0.5
"Нефти и бензины, Бензин автомобильный, Нефть сырая",19.0,0.56
"Нефти и бензины, Бензин автомобильный, Нефть сырая",21.0,0.58
"Нефти и бензины, Бензин автомобильный, Нефть сырая",26.0,0.68
"Нефти и бензины, Бензин автомобильный, Нефть сырая",27.0,0.69
"Нефти и бензины, Бензин автомобильный, Нефть сырая",29.0,0.73
"Нефти и бензины, Бензин автомобильный, Нефть сырая",30.0,0.74
"Нефти и бензины, Бензин автомобильный, Нефть сырая",34.0,0.82
"Нефти и бензины, Бензин автомобильный, Нефть сырая",35.0,0.83
"Нефти и бензины, Бензин автомобильный, Нефть сырая",37.0,0.87
"Нефти и бензины, Бензин автомобильный, Нефть сырая",38.0,0.88
"Нефти и бензины, Бензин автомобильный, Нефть сырая",39.0,0.9
"Нефти и бензины, Бензин автомобильный, Нефть сырая",40.0,0.91
"Нефти и бензины, Бензин автомобильный, Нефть сырая",41.0,0.93
"Нефти и бензины, Бензин автомобильный, Нефть сырая",42.0,0.94
"Нефти и бензины, Бензин автомобильный, Нефть сырая",50.0,1.1
