group,type,mode,volume,Kp,Kp_avg
А,Наземный вертикальный,мерник,<100,0.9,0.63
А,Наземный вертикальный,мерник,100-700,0.87,0.61
А,Наземный вертикальный,мерник,700-2000,0.83,0.58
А,Наземный вертикальный,мерник,>=2000,0.8,0.56
А,Заглубленный,мерник,<100,0.8,0.56
А,Заглубленный,мерник,100-700,0.77,0.54
А,Заглубленный,мерник,700-2000,0.73,0.51
А,Заглубленный,мерник,>=2000,0.7,0.5
А,Наземный горизонтальный,мерник,<100,1.0,0.7
А,Наземный горизонтальный,мерник,100-700,0.97,0.68
А,Наземный горизонтальный,мерник,700-2000,0.93,0.65
А,Наземный горизонтальный,мерник,>=2000,0.9,0.63
Б,Наземный вертикальный,мерник,<100,0.95,0.67
Б,Наземный вертикальный,мерник,100-700,0.92,0.64
Б,Наземный вертикальный,мерник,700-2000,0.88,0.62
Б,Наземный вертикальный,мерник,>=2000,0.85,0.6
Б,Заглубленный,мерник,<100,0.85,0.6
Б,Заглубленный,мерник,100-700,0.82,0.57
Б,Заглубленный,мерник,700-2000,0.78,0.55
Б,Заглубленный,мерник,>=2000,0.75,0.53
Б,Наземный горизонтальный,мерник,<100,1.0,0.7
Б,Наземный горизонтальный,мерник,100-700,0.98,0.69
Б,Наземный горизонтальный,мерник,700-2000,0.96,0.67
Б,Наземный горизонтальный,мерник,>=2000,0.95,0.67
В,Наземный вертикальный,мерник,<100,1.0,0.7
В,Наземный вертикальный,мерник,100-700,0.97,0.68
В,Наземный вертикальный,мерник,700-2000,0.93,0.65
В,Наземный вертикальный,мерник,>=2000,0.9,0.63
В,Заглубленный,мерник,<100,0.9,0.63
В,Заглубленный,мерник,100-700,0.87,0.61
В,Заглубленный,мерник,700-2000,0.83,0.58
В,Заглубленный,мерник,>=2000,0.8,0.56
В,Наземный горизонтальный,мерник,<100,1.0,0.7
В,Наземный горизонтальный,мерник,100-700,1.0,0.7
В,Наземный горизонтальный,мерник,700-2000,1.0,0.7
В,Наземный горизонтальный,мерник,>=2000,1.0,0.7
"А,Б,В",Наземный вертикальный,понтон,<100,0.2,0.14
"А,Б,В",Наземный вертикальный,понтон,100-700,0.19,0.13
"А,Б,В",Наземный вертикальный,понтон,700-2000,0.17,0.12
"А,Б,В",Наземный вертикальный,понтон,>=2000,0.16,0.11
"А,Б,В",Наземный вертикальный,плавающая крыша,<100,0.13,0.094
"А,Б,В",Наземный вертикальный,плавающая крыша,100-700,0.13,0.087
"А,Б,В",Наземный вертикальный,плавающая крыша,700-2000,0.12,0.08
"А,Б,В",Наземный вертикальный,плавающая крыша,>=2000,0.11,0.074
"А,Б,В",,буферная емкость,,0.1,0.1
