substance,A,B,C,m
Бутан,6.83029,945.9,240.0,58.12
Пентан,6.87372,1075.82,233.36,72.15
Гексан,6.87776,1171.53,224.37,86.18
Гептан,6.90027,1266.87,216.76,100.21
Изооктан,6.8117,1259.2,221.0,114.23
Цетан,7.33309,2036.4,172.5,226.45
Бензол,6.9121,1224.64,221.2,78.11
Толуол,6.95334,1343.94,219.38,92.14
о-Ксилол,6.99891,1474.68,213.69,106.16
м-Ксилол,7.00908,1462.27,215.11,106.16
п-Ксилол,6.99052,1453.43,215.31,106.16
Этилбензол,6.95719,1424.26,213.21,106.17
Изопропилбензол,6.93666,1460.79,207.78,120.19
Спирт метиловый,8.12,1592.86,233.4,32.04
Ацетон,7.2506,1281.7,237.0,58.08
Фенол,7.86819,2011.4,222.0,94.11
