t_nk,m
10.0,51.0
11.0,51.6
12.0,52.2
13.0,52.8
14.0,53.4
15.0,54.0
16.0,54.6
17.0,55.2
18.0,55.8
19.0,56.4
20.0,57.0
21.0,57.6
22.0,58.2
23.0,58.8
24.0,59.4
25.0,60.0
26.0,60.6
27.0,61.2
28.0,61.8
29.0,62.4
30.0,63.0
31.0,63.6
32.0,64.2
33.0,64.8
34.0,65.4
35.0,66.0
36.0,66.6
37.0,67.2
38.0,67.8
39.0,68.4
40.0,69.0
41.0,69.6
42.0,70.2
43.0,70.8
44.0,71.4
45.0,72.0
46.0,72.6
47.0,73.2
48.0,73.8
49.0,74.4
50.0,75.0
51.0,75.6
52.0,76.2
53.0,76.8
54.0,77.4
55.0,78.0
56.0,78.6
57.0,79.2
58.0,79.8
59.0,80.4
60.0,81.0
65.0,84.0
70.0,87.0
75.0,90.0
80.0,93.0
85.0,96.0
90.0,99.0
95.0,102.0
100.0,105.0
110.0,111.0
