tank_volume_m3,tank_mode,tank_type,climate_zone,Gxp
<100,мерник,Наземный вертикальный,middle,0.22
<100,понтон,Наземный вертикальный,middle,0.049
<100,плавающая крыша,Наземный вертикальный,middle,0.033
<100,буферная емкость,Наземный вертикальный,middle,0.077
<100,мерник,Заглубленный,middle,0.066
<100,мерник,Наземный горизонтальный,middle,0.22
100-700,мерник,Наземный вертикальный,middle,0.69
100-700,понтон,Наземный вертикальный,middle,0.15
100-700,плавающая крыша,Наземный вертикальный,middle,0.098
100-700,буферная емкость,Наземный вертикальный,middle,0.242
100-700,мерник,Заглубленный,middle,0.21
100-700,мерник,Наземный горизонтальный,middle,0.69
700-2000,мерник,Наземный вертикальный,middle,1.49
700-2000,понтон,Наземный вертикальный,middle,0.31
700-2000,плавающая крыша,Наземный вертикальный,middle,0.21
700-2000,буферная емкость,Наземный вертикальный,middle,0.52
700-2000,мерник,Заглубленный,middle,0.45
>=2000,мерник,Наземный вертикальный,middle,5.8
>=2000,понтон,Наземный вертикальный,middle,1.14
>=2000,плавающая крыша,Наземный вертикальный,middle,0.77
>=2000,буферная емкость,Наземный вертикальный,middle,2.03
>=2000,мерник,Заглубленный,middle,1.74
<100,мерник,Наземный вертикальный,south,0.27
<100,понтон,Наземный вертикальный,south,0.06
<100,плавающая крыша,Наземный вертикальный,south,0.041
<100,буферная емкость,Наземный вертикальный,south,0.095
<100,мерник,Заглубленный,south,0.081
<100,мерник,Наземный горизонтальный,south,0.27
100-700,мерник,Наземный вертикальный,south,0.85
100-700,понтон,Наземный вертикальный,south,0.18
100-700,плавающая крыша,Наземный вертикальный,south,0.121
100-700,буферная емкость,Наземный вертикальный,south,0.298
100-700,мерник,Заглубленный,south,0.26
100-700,мерник,Наземный горизонтальный,south,0.85
700-2000,мерник,Наземный вертикальный,south,1.83
700-2000,понтон,Наземный вертикальный,south,0.38
700-2000,плавающая крыша,Наземный вертикальный,south,0.26
700-2000,буферная емкость,Наземный вертикальный,south,0.64
700-2000,мерник,Заглубленный,south,0.55
>=2000,мерник,Наземный вертикальный,south,7.13
>=2000,понтон,Наземный вертикальный,south,1.4
>=2000,плавающая крыша,Наземный вертикальный,south,0.95
>=2000,буферная емкость,Наземный вертикальный,south,1.64
>=2000,мерник,Заглубленный,south,2.14
