order,table_id,filename,title,lookup_type,input_keys,output_keys,interpolate_key,source,row_count
1,Table_6_1,01_table_6_1.csv,Emission factors from heat-exchange equipment and transfer systems,multi_key_exact,"[""equipment"", ""product_group""]","[""Q_spec""]",,"{""document"": ""РНД 211.2.02.09-2004.pdf"", ""section"": ""6.2"", ""table"": ""6.1""}",35
2,Table_6_2,02_table_6_2.csv,Leakage through stationary seals,multi_key_exact,"[""category"", ""stream_type""]","[""leak_rate_kg_per_hour"", ""failed_seal_share""]",,"{""document"": ""РНД 211.2.02.09-2004.pdf"", ""section"": ""6.3"", ""table"": ""6.2""}",10
3,Table_6_3,03_table_6_3.csv,q_avg by temperature at wind speed 0.5 m/s,interpolate,"[""temperature_c""]","[""open_oil_trap_q_avg"", ""settling_pond_q_avg""]",temperature_c,"{""document"": ""РНД 211.2.02.09-2004.pdf"", ""section"": ""6.5"", ""table"": ""6.3""}",5
4,Table_6_4,04_table_6_4.csv,Cover coefficient z by surface coverage percent,interpolate,"[""coverage_percent""]","[""z""]",coverage_percent,"{""document"": ""РНД 211.2.02.09-2004.pdf"", ""section"": ""6.5"", ""table"": ""6.4""}",20
5,Table_6_5,05_table_6_5.csv,Natural loss standards for mazut in open earthen pits,exact,"[""facility""]","[""autumn_winter_norm"", ""spring_summer_norm""]",,"{""document"": ""РНД 211.2.02.09-2004.pdf"", ""section"": ""6.6"", ""table"": ""6.5""}",1
6,Table_1,06_table_1.csv,"Гигиенические нормативы (ОБУВ, ПДК)",exact,"[""substance""]","[""OBUV"", ""PDK_mr"", ""PDK_ss""]",,,39
7,Table_10,07_table_10.csv,Коэффициент Kob (оборачиваемость),range_match,"[""n""]","[""Kob""]",,,10
8,Table_12,08_table_12.csv,Удельные выделения от АЗС,exact,"[""substance""]","[""C1"", ""Knp"", ""Uoz"", ""Uvl"", ""J""]",,,12
9,Table_7,09_table_7.csv,Коэффициент Kt (влияние температуры),interpolate_with_filter,"[""substance"", ""t""]","[""Kt""]",t,,120
10,Table_8,10_table_8.csv,Коэффициент Kp (условия эксплуатации),multi_key_exact,"[""group"", ""type"", ""mode"", ""volume""]","[""Kp"", ""Kp_avg""]",,,45
11,Table_9,11_table_9.csv,Коэффициент Kv (влияние давления),interpolate,"[""Pt_mmHg""]","[""Kv""]",Pt_mmHg,,15
12,Table_3,12_table_3.csv,Параметры уравнения Антуана,exact,"[""substance""]","[""A"", ""B"", ""C"", ""m""]",,Приложение 3,16
13,Table_4,13_table_4.csv,Константа Генри (K_H) для растворов в воде,interpolate_with_filter,"[""substance"", ""t""]","[""K_H""]",t,Приложение 4,5
14,Table_5,14_table_5.csv,Молекулярная масса паров нефтей и бензинов,interpolate,"[""t_nk""]","[""m""]",t_nk,Приложение 5,2
15,Table_13,15_table_13.csv,Удельные потери при хранении Gxp (Приложение 13),multi_key_exact,"[""tank_volume_m3"", ""tank_mode"", ""tank_type"", ""climate_zone""]","[""Gxp""]",,,6
16,Table_15,16_table_15.csv,Концентрации паров при заполнении баков автомашин,multi_key_exact,"[""substance"", ""climate_zone""]","[""C_tank_max"", ""C_tank_oz"", ""C_tank_vl""]",,,16
