electrode_type,aerosol_g_kg
АНВ-40,15.4
АНЖР-2,16.1
АНО-1,9.6
АНО-3,17.0
АНО-4,17.8
АНО-4ж,11.0
АНО-5,14.4
АНО-6,16.7
АНО-7,12.21
АНО-9,16.9
АНО-11,18.6
АНО-13,17.1
АНО-14,11.2
АНО-15,19.5
АНО-17,11.3
АНО-18,13.0
АНО-19,12.8
АНО-20,10.0
АНО-24,11.5
АНО-27,17.8
АНО-Т,18.0
АНО-Х,15.3
БСЦ-4,20.2
БСЦ-4а,24.3
ВИ-10-6,15.6
ВИ-ИМ-1,5.8
ВП-4,14.1
ВСН-6,17.9
ДС-12,25.6
ЖД-3,9.8
ИК-13,4.2
ИМЕГ-10,6.9
К-5,13.0
К-5А,24.1
КНЗ-32,11.4
МЗЗ-04,34.0
МЗЗ-Ш,41.1
МР-1,10.8
МР-3,11.5
МР-4,11.0
НБ-38,16.3
НБ-40,10.5
НЖ-13,4.2
НИ-ИМ-1,5.8
НИАТ-1,4.7
НИАТ-3Н,10.1
ОЗЛ-5,3.9
ОЗЛ-6,6.9
ОЗЛ-7,7.6
ОЗЛ-9А,5.0
ОЗЛ-14,8.4
ОЗЛ-17У,10.0
ОЗЛ-20,5.0
ОЗЛ-22,20.0
ОЗС-3,15.3
ОЗС-4,10.9
ОЗС-6,14.0
ОЗС-12,12.0
ОМА-2,9.2
ОММ-5,30.0
РБУ-4,6.9
РДЗБ-2,17.4
СК-2-50,12.0
СМ-5,10.3
СМА-2,9.2
УКС-42,14.5
УОНИ-13/45,16.31
ЦЛ-17,10.0
ЦЛ-26М,9.1
ЦМ-6,48.7
ЦМ-7,37.0
ЦМ-8,25.0
ЦМ-9,19.0
ЦМ-УПУ,18.5
ЦН-6Л,13.0
ЦТ-15,8.0
ЦТ-28,13.9
ЦТ-36,7.6
ЧМКТ-10,7.02
Э 48-М/18,13.2
ЭА-395/8,18.5
ЭА-395/9,16.0
ЭА-400у,11.0
ЭА-48А/2,17.8
ЭА-48/22,10.6
ЭА-606/11,10.7
ЭА-686/11,13.0
ЭА-903/12,25.0
ЭА-981/15,10.3
ЭРС-3,12.8
ЯФ-1,21.6
ЯФ-606,18.6
