table_id,filename,title_ru,source_pages,kind,note
1,table_01_material_k1_k2.csv,"Таблица 1 — Значение коэффициентов k1, k2 для определения выбросов пыли",3-4,lookup,Строка 'Щебенка*' сохраняет примечание источника.
2,table_02_wind_speed_k3.csv,Таблица 2 — Зависимость величины k3 от скорости ветра,5,lookup,
3,table_03_local_conditions.csv,Таблица 3 — Зависимость величины k1 от местных условий,5,lookup,"Заголовок PDF содержит 'k1', но по формулам раздела коэффициент используется как коэффициент местных условий."
4,table_04_moisture_k5.csv,Таблица 4 — Зависимость величины k5 от влажности материалов,5,lookup,"Строка 'до 9,0' нормализована из видимо поврежденного скана 'до 0,0'."
5,table_05_piece_size_k7.csv,Таблица 5 — Зависимость величины k7 от крупности металла,6,lookup,"CSV сохраняет диапазоны ровно так, как они видны в PDF."
6,table_06_q_prime.csv,Таблица 6 — Значение величины q' при условии k3=1; k5=1,6,lookup,
7,table_07_drop_height_b_prime.csv,Таблица 7 — Зависимость величины B' от высоты пересыпки,6,lookup,
8,table_08_coal_parameters_n_a_c.csv,"Таблица 8 — Значение параметров n, a, c для определения удельного пылевыделения (E)",8-9,lookup,Исправлены явные OCR-артефакты по изображению PDF; строка Д / 0-3 отсутствует в скане и пропущена.
9,table_09_transport_capacity_c1.csv,Таблица 9 — Зависимость C1 от средней грузоподъемности транспорта,10,lookup,
10,table_10_transport_speed_c2.csv,Таблица 10 — Зависимость C2 от средней скорости транспортирования,11,lookup,
11,table_11_road_condition_c3.csv,Таблица 11 — Зависимость C3 от состояния дорог,11,lookup,
12,table_12_blowing_speed_c5.csv,Таблица 12 — Зависимость C5 от скорости обдува кузова,11,lookup,
13,table_13_fuel_combustion_emissions.csv,Таблица 13 — Выбросы вредных веществ при сгорании топлива,12,lookup,"Факторы сохранены как raw-строки, потому что в PDF единицы измерения различаются по строкам."
14,table_14_vehicle_fuel_consumption.csv,Таблица 14 — Расход топлива различными транспортными средствами,12,lookup,Скан слил три строки в один блок; записи разделены по координатам PDF.
15,table_15_drilling_dust_collection_eta.csv,Таблица 15 — Значение η для расчета объема пылевыбросов при бурении,13,lookup,Строки восстановлены по позициям слов в PDF.
16,table_16_machine_dust_intensity.csv,Таблица 16 — Интенсивность пылевыделения некоторых машин в карьерах,14,lookup,Примечание для бульдозера нормализовано в 'по сухой породе'.
