row_no,material_name_ru,density_g_cm3_raw,k1,k2,source_note
1,Огарки,3.9,0.04,0.03,
2,Клинкер,3.2,0.01,0.003,
3,Цемент,3.1,0.04,0.03,
4,Известняк,2.7,0.04,0.02,
5,Мергель,2.7,0.05,0.02,
6,Известь комовая,2.7,0.07,0.02,
7,Известь молотая,2.7,0.07,0.05,
8,Гранит,2.8,0.02,0.04,
9,Мрамор,2.8,0.04,0.06,
10,Мел,2.7,0.05,0.07,
11,Гипс комовой,2.6,0.03,0.02,
12,Гипс колотый,2.6,0.08,0.04,
13,Доломит,2.7,0.05,0.02,
14,Опока,2.65,0.03,0.01,
15,Пегматит,2.6,0.04,0.04,
16,Гнейс,2.9,0.05,0.02,
17,Каолин,2.7,0.06,0.04,
18,Нефелин,2.7,0.06,0.02,
19,Глина,2.7,0.05,0.02,
20,Песок,2.6,0.05,0.03,
21,Песчаник,2.65,0.04,0.01,
22,Слюда,2.8,0.02,0.01,
23,Полевой шпат,2.5,0.07,0.01,
24,Шлак,2.5-3.0,0.05,0.02,
25,Диорит,2.8,0.03,0.06,
26,Порфироиды,2.7,0.03,0.07,
27,Графит,2.2-2.7,0.03,0.04,
28,Уголь,1.3,0.03,0.02,
29,Зола,2.5,0.06,0.04,
30,Диатомит,2.3,0.03,0.02,
31,Перлит,2.4,0.04,0.06,
32,Керамит,2.5,0.06,0.02,
33,Вермикулит,2.6,0.06,0.04,
34,Аглопорит,2.5,0.06,0.04,
35,Туф,2.6,0.03,0.02,
36,Пемза,2.5,0.03,0.06,
37,Сульфат,2.7,0.05,0.02,
38,Шамот,2.6,0.04,0.02,
39,Смесь песка и извести,2.6,0.05,0.01,
40,"Кирпич, бой",-,0.05,0.01,
41,Минеральная вата,-,0.05,0.01,
42,Щебенка,-,0.04,0.02,"В источнике: '* брать по тому материалу, из которого делают щебенку'."
