coal_grade_ru,size_class_mm,n,a,c,source_note
А,25-50,4.8157,3.5981,0.00001698,
А,13-25,7.1572,6.2082,0.00001698,
А,6-13,8.8583,7.5171,0.00001698,
А,3-6,8.9905,8.2518,0.00001698,
А,0-3,9.3696,8.6744,0.00001698,
ПА,25-50,3.8743,2.1633,0.003015,
ПА,13-25,5.2677,3.8469,0.003015,
ПА,6-13,5.9840,4.7127,0.003015,
ПА,3-6,6.3410,5.1443,0.003015,
ПА,0-3,6.5863,5.4408,0.003015,
Т,25-50,5.9216,4.3124,0.1008,
Т,13-25,6.4686,4.8175,0.1008,
Т,6-13,7.1437,5.1442,0.1008,
Т,3-6,7.5095,5.7740,0.1008,Нормализация из OCR '5 7740'.
Т,0-3,7.7292,5.9723,0.1008,"Нормализация из OCR '5,СУ23' по PDF-изображению."
ОС,25-50,3.3983,3.1191,0.1374,
ОС,13-25,3.5899,3.2850,0.1374,Нормализация из OCR '3-25'.
ОС,6-13,3.6121,3.3695,0.1374,Нормализация из OCR '6- 13'.
ОС,3-6,3.6505,3.4146,0.1374,
ОС,0-3,3.0735,3.4415,0.1374,
Ж,25-50,2.9541,3.0767,0.6025,
Ж,13-25,3.1658,3.3030,0.6025,Нормализация из OCR '3.3(30)'.
Ж,6-13,3.2743,3.4340,0.6025,Нормализация из OCR '6- 3'.
Ж,3-6,3.3815,3.4978,0.6025,
Ж,0-3,3.3657,3.53631,0.6025,
К,25-50,3.0449,2.8428,0.1431,
К,13-25,3.2691,3.11411,0.1431,
К,6-13,3.3852,3.2547,0.1431,
К,3-6,3.4458,3.3287,0.1431,Нормализация из OCR '3.328Г'.
К,0-3,3.4808,3.3705,0.1431,
Г,25-50,5.7268,7.5392,29.72,
Г,13-25,5.9816,7.8029,29.72,
Г,6-13,6.1128,7.9417,29.77,Нормализация из OCR '0-13'.
Г,3-6,6.7821,8.01401,29.77,
Г,0-3,6.2242,8.0595,29.77,
Д,25-50,8.1515,9.7551,0.6152,
Д,13-25,11.5166,13.8668,0.6152,
Д,6-13,13.2431,15.9773,0.6152,
Д,3-6,14.1611,17.0994,0.6152,
