source_ru,intensity_mg_s,intensity_g_h,note_ru
Буровой станок БМК,27,97,с пылеуловителем
Буровой станок БСШ-1,110,396,-------
Буровой станок БА-100,2200,7920,без пылеуловителя
Буровой станок СБО-1,250,900,с пылеуловителем
Пневматический бурильный молоток,100,360,при бурении сухим способом
Пневматический бурильный молоток,5,18,при бурении мокрым способом
Экскаватор СЭ-3,500,1800,нагрузка сухой руды
Экскаватор СЭ-3,120,432,нагрузка мокрой руды
Бульдозер,250,900,при работе по сухой породе
Автосамосвал,5000,18000,при движении по сухим дорогам без твердого покрытия
