equipment,product_group,Q_spec
hx_shell_tube_tube,light,0.2
hx_shell_tube_tube,middle,0.1
hx_shell_tube_tube,heavy,0.05
hx_shell_tube_shell,light,0.2
hx_shell_tube_shell,middle,0.1
hx_shell_tube_shell,heavy,0.05
hx_cooler,light,0.2
hx_cooler,middle,0.1
hx_cooler,heavy,0.05
hx_reboiler,light,0.2
hx_reboiler,middle,0.1
hx_reboiler,heavy,0.05
immersion_cooler,light,1.0
immersion_cooler,middle,0.5
immersion_cooler,heavy,0.01
air_cooler,light,0.1
air_cooler,middle,0.07
air_cooler,heavy,0.04
pump_single_mech,light,0.08
pump_single_mech,middle,0.04
pump_single_mech,heavy,0.02
pump_single_packed,light,0.14
pump_single_packed,middle,0.07
pump_single_packed,heavy,0.03
pump_double_mech,light,0.14
pump_double_mech,middle,0.07
pump_double_mech,heavy,0.03
pump_double_packed,light,0.26
pump_double_packed,middle,0.13
pump_double_packed,heavy,0.05
pump_double_sealless,light,0.02
pump_double_sealless,middle,0.01
pump_double_sealless,heavy,0.01
compressor_centrifugal,light,0.12
compressor_centrifugal,middle,0.0
compressor_centrifugal,heavy,0.0
compressor_reciprocating,light,0.75
compressor_reciprocating,middle,0.0
compressor_reciprocating,heavy,0.0
