substance,climate_zone,tank_type,C_tank_max,C_tank_oz,C_tank_vl
gasoline_auto,middle,aboveground,580.0,250.0,310.0
gasoline_auto,middle,underground,480.0,210.2,255.0
diesel,middle,aboveground,1.86,0.96,1.32
diesel,middle,underground,1.55,0.8,1.1
oils,middle,aboveground,0.2,0.12,0.12
oils,middle,underground,0.16,0.1,0.1
gasoline_auto,south,aboveground,701.8,310.0,375.1
gasoline_auto,south,underground,580.0,260.4,308.5
diesel,south,aboveground,2.25,1.19,1.6
diesel,south,underground,1.88,0.99,1.33
oils,south,aboveground,0.24,0.15,0.15
oils,south,underground,0.19,0.12,0.12
