substance,climate_zone,tank_type,tank_volume_cat,GXP
gasoline_auto,middle,vertical_none,100,0.22
gasoline_auto,middle,vertical_pontoon,100,0.049
gasoline_auto,middle,vertical_floating_roof,100,0.033
gasoline_auto,middle,vertical_gor,100,0.077
gasoline_auto,middle,underground,100,0.066
gasoline_auto,middle,horizontal,100,0.22
gasoline_auto,south,vertical_none,100,0.27
gasoline_auto,south,vertical_pontoon,100,0.060
gasoline_auto,south,vertical_floating_roof,100,0.041
gasoline_auto,south,vertical_gor,100,0.095
gasoline_auto,south,underground,100,0.081
gasoline_auto,south,horizontal,100,0.27
diesel,middle,underground,100,0.0
diesel,middle,horizontal,100,0.0
diesel,middle,vertical_none,100,0.0
diesel,middle,vertical_pontoon,100,0.0
diesel,middle,vertical_floating_roof,100,0.0
diesel,middle,vertical_gor,100,0.0
diesel,south,underground,100,0.0
diesel,south,horizontal,100,0.0
diesel,south,vertical_none,100,0.0
diesel,south,vertical_pontoon,100,0.0
diesel,south,vertical_floating_roof,100,0.0
diesel,south,vertical_gor,100,0.0
oils,middle,underground,100,0.0
oils,middle,horizontal,100,0.0
oils,middle,vertical_none,100,0.0
oils,middle,vertical_pontoon,100,0.0
oils,middle,vertical_floating_roof,100,0.0
oils,middle,vertical_gor,100,0.0
oils,south,underground,100,0.0
oils,south,horizontal,100,0.0
oils,south,vertical_none,100,0.0
oils,south,vertical_pontoon,100,0.0
oils,south,vertical_floating_roof,100,0.0
oils,south,vertical_gor,100,0.0
